id,track,label,score
50,Roar,valence,0.455
51,Scheme,dance,0.674
51,Scheme,energy,0.919
51,Scheme,valence,0.393
52,Shut Up and Dance,dance,0.578
52,Shut Up and Dance,energy,0.866
52,Shut Up and Dance,valence,0.619
53,Spectrum,dance,0.609
53,Spectrum,energy,0.801
53,Spectrum,valence,0.407
54,The Cave,dance,0.576
54,The Cave,energy,0.486
54,The Cave,valence,0.337
55,The City,dance,0.528
55,The City,energy,0.81
55,The City,valence,0.295
56,The Illest,dance,0.666
56,The Illest,energy,0.716
56,The Illest,valence,0.544
57,The Race,dance,0.658
57,The Race,energy,0.748
57,The Race,valence,0.571
58,The Veldt - 8 Minute Edit,dance,0.734
58,The Veldt - 8 Minute Edit,energy,0.658
58,The Veldt - 8 Minute Edit,valence,0.348
59,Thinking out Loud,dance,0.781
59,Thinking out Loud,energy,0.445
59,Thinking out Loud,valence,0.591
60,Titanium (feat. Sia),dance,0.604
60,Titanium (feat. Sia),energy,0.788
60,Titanium (feat. Sia),valence,0.301
61,Tonight Is the Night,dance,0.625
61,Tonight Is the Night,energy,0.786
61,Tonight Is the Night,valence,0.537
62,Trap Queen,dance,0.746
62,Trap Queen,energy,0.873
62,Trap Queen,valence,0.817
63,Twist and Shout,dance,0.563
63,Twist and Shout,energy,0.981
63,Twist and Shout,valence,0.298
64,Want to Want Me,dance,0.775
64,Want to Want Me,energy,0.68
64,Want to Want Me,valence,0.656
65,Wanted,dance,0.421
65,Wanted,energy,0.476
65,Wanted,valence,0.3
66,Watch Me (Whip / Nae Nae),dance,0.821
66,Watch Me (Whip / Nae Nae),energy,0.759
66,Watch Me (Whip / Nae Nae),valence,0.962
67,We Are Family - 1995 Remaster,dance,0.784
67,We Are Family - 1995 Remaster,energy,0.893
67,We Are Family - 1995 Remaster,valence,0.819
68,What A Wonderful World - Single Version,dance,0.388
68,What A Wonderful World - Single Version,energy,0.327
68,What A Wonderful World - Single Version,valence,0.222
69,What I Like About You,dance,0.542
69,What I Like About You,energy,0.915
69,What I Like About You,valence,0.92
70,Where Are Ü Now (with Justin Bieber),dance,0.432
70,Where Are Ü Now (with Justin Bieber),energy,0.781
70,Where Are Ü Now (with Justin Bieber),valence,0.197
71,Wild Ones (feat. Sia),dance,0.624
71,Wild Ones (feat. Sia),energy,0.889
71,Wild Ones (feat. Sia),valence,0.45
72,Wonderful Tonight,dance,0.572
72,Wonderful Tonight,energy,0.214
72,Wonderful Tonight,valence,0.486
73,Wrecking Ball,dance,0.53
73,Wrecking Ball,energy,0.422
73,Wrecking Ball,valence,0.349
74,Yeah! (feat. Lil Jon & Ludacris),dance,0.894
74,Yeah! (feat. Lil Jon & Ludacris),energy,0.791
74,Yeah! (feat. Lil Jon & Ludacris),valence,0.583
75,You Found Me,dance,0.338
75,You Found Me,energy,0.803
75,You Found Me,valence,0.4
